objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
98;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,19917E+12;1;2018;1;8,38031E+14;3,19917E+14
99;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,80316E+12;1;2018;1;1,02711E+14;3,80316E+14
100;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,37346E+11;1;2018;1;1,4023E+13;6,37346E+14
101;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,95626E+11;1;2018;1;5,28769E+13;6,95625E+13
102;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,0062E+11;1;2018;1;6,02819E+14;8,00619E+14
103;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,81698E+11;1;2018;1;3,08311E+13;3,81698E+14
104;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,06087E+11;1;2018;1;3,73682E+14;3,06087E+14
105;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,1454E+11;1;2018;1;3,75908E+14;5,14539E+14
106;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,95056E+11;1;2018;1;6,06849E+13;8,95055E+14
107;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,56732E+12;1;2018;1;6,69704E+14;1,56732E+14
108;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,14919E+11;1;2018;1;2,92384E+13;3,14919E+14
109;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,6512E+11;1;2018;1;2,56541E+14;2,6512E+14
110;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,69991E+11;1;2018;1;1,50533E+14;1,69991E+14
111;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,96839E+12;1;2018;1;1,22932E+14;1,96839E+14
112;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,60807E+12;1;2018;1;8,96737E+14;3,60807E+14
113;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,40573E+12;1;2018;1;8,3251E+14;1,40573E+14
114;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,37411E+11;1;2018;1;6,00181E+14;8,37412E+14
115;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,17539E+12;1;2018;1;1,04432E+14;2,17539E+14
116;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,87407E+11;1;2018;1;3,11375E+14;5,87407E+14
117;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,25856E+11;1;2018;1;2,8884E+14;3,25856E+14
118;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,1369E+11;1;2018;1;2,90525E+14;3,1369E+13
119;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;49289822401;1;2018;1;4,50961E+14;4,92899E+14
120;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,20285E+11;1;2018;1;5,12031E+14;8,20285E+14
121;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2548247472;1;2018;1;1,94733E+14;2,54825E+14
122;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,89311E+11;1;2018;1;2,43236E+14;2,89311E+14
123;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,29031E+12;1;2018;1;2,4337E+14;6,29031E+13
124;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,24366E+12;1;2018;1;2,50641E+14;4,24366E+14
125;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,09137E+12;1;2018;1;1,3712E+14;4,09137E+14
126;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,11727E+11;1;2018;1;2,9254E+14;5,11727E+14
